id,source,hotel_name_from_roomlist,city_from_roomlist,city_name_raw,address_from_roomlist,room_name,room_size,number_of_people_min,number_of_people_max,number_of_people_raw,price_per_day,price_raw,description,info_link,img_link
,meetingsbooker,Impact Hub Stockholm,,Stockholm,,Trust Conference Room,2M x 3M x 3M (WxLxH),,,4,,kr2500/day,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-41.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Impact Hub Stockholm,,Stockholm,,Courage Conference Room,3M x 3M x 3M (WxLxH),,,6,,kr4000/day,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-38.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Impact Hub Stockholm,,Stockholm,,Enterprise Conference Room,3M x 6M x 3M (WxLxH),,,9,,kr5000/day,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-35.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Impact Hub Stockholm,,Stockholm,,Discovery Conference Room,3M x 6M x 3M (WxLxH),,,9,,kr5000/day,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-45.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Impact Hub Stockholm,,Stockholm,,Collaboration Conference Room,6M x 6M x 3M (WxLxH),,,"12,20",,kr8000/day,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-44.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Impact Hub Stockholm,,Stockholm,,Purpose Event Space,10M x 10M x 25M (WxLxH),,,"15,40,40,70",,kr37500/day,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-43.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Freys Hotel,,Stockholm,,Harmony,3.41M x 3.82M x 2.52M (WxLxH),,,"5,5",,kr4875/day,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/freyshotel-1.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Freys Hotel,,Stockholm,,Creativity,2.85M x 3.83M x 2.53M (WxLxH),,,6,,kr4875/day,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/Freys-Hotel-5.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Freys Hotel,,Stockholm,,Balance,2.85M x 3.83M x 2.53M (WxLxH),,,6,,kr4875/day,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/Freys-Hotel-13.jpg?quality=85&mode=crop&w=328&h=230
,meetingsbooker,Freys Hotel,,Stockholm,,Wisdom,4.48M x 3.8M x 2.52M (WxLxH),,,"8,8",,kr8375/day,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/freyshotel-6.jpg?quality=85&mode=crop&w=328&h=230
