id,source,hotel_name_from_roomlist,city_from_roomlist,address_from_roomlist,room_name,room_size,number_of_people_min,number_of_people_max,price_per_day,description,info_link,img_link,placeUUID,distance,placeName
,venuu,Gråbogården event och konferens center,Gråbo,"Ljungslättsvägen 95, 44373 Gråbo",,,,42,12700,"Gråbogården inspirerar till kreativa möten i naturen vid mysig badsjö endast 35 minuter från Göteborg. På Gråbogården finns en stor modernt inredd konferens sal, fullt utrustat kommersiellt kök, sköna lounge rum med soffor och vackra omgivningar att utforska. Köket är utrustat med allt som ni behöver för att tillaga och förvara mat till stora grupper eller varför inte boka en privat kock som ni lagar maten tillsammans med eller beställ catering. Ni kan även tillaga maten utomhus på två kolgrillar eller helt enkelt laga den över öppen eld. Det bästa med Gråbogården är att ni kan ta med egen mat och dryck och utforma ert möte precis som ni önskar, vilket uppskattas av gäster. Den stora salen rymmer 42 sittande middagsgäster, två soffgrupper och kan möbleras om för att göra den tillgänglig för olika typer av möten och konferenser. I sjöbyggnaden finns ett lounge rum med sköna soffor och lounge stolar för team möten eller avkoppling. Utomhus finns bord och stolar för 24 gäster på terassen med utsikt över sjön. Det är det perfekta stället för ert nästa möte, företagskickoff, dagkonferens eller team building aktivitet. Utforma ert event utifrån egna ideer eller låt oss hjälpa er. Gråbogården har sju bekväma flerbäddsrum med 40 sovplatser med sköna madrasser. Utsikten mot sjön och skogen från sovrummen är avkopplande för både kropp och själ, och tystnaden bidrar till en skön natts sömn. Ni har tillgång till badplats med egen brygga, kanoter, kajaker, stand up paddle boards och flytvästar. Gråbogården är ett familjeägt företag och vår målsättning är att skapa en plats för de som söker bekvämlighet i en avkopplande miljö mitt i naturen. Vi önskar att er vistelse hos oss ska vara avkopplande, inspirerande och samtidigt ge ny energi. Vi tror att de vackra omgivningarna med sjön och skogen ska ha en positiv inverkan på ert välbefinnande. Med skogen runt knuten kan ni hitta på många aktiviteter, som att utforska naturstigar, motionera i elljusspåret i närheten, cykla, plocka svamp eller bär. Om ni söker en mötesplats med teamet i avskildhet mitt i naturen i närheten av Göteborg, då är Gråbogården rätt för er. Tveka inte att kontakta oss med era önskemål.",https://venuu.se/lokaler/grabogarden-event-och-konferens-center,https://files.venuu.se/attachments/000/176/917/2d9500fea2e20b983f63e0cb196e307a890786c2.jpg,f60d1d28-3de9-488c-8e9a-c5e71b811562,0.7053277917141068,"Grenna Hotel Gränna Ribbagårdsgränd 11, 563 31 Gränna, Sweden"
,venuu,Klubbarnas Klubb,Stockholm,"Beckholmsvägen 12, 11521 Stockholm",,,,70,7000,"Klubbarnas Klubb är en charmig & personlig lokal på 100 m2. Vi finns på norra Djurgården i en liten gränd bakom Nya Djurgårdsvarvet, vi är grannar med den glittrande Östersjön, de gamla arbetsbostäderna och de knarriga bryggorna. Varvet sjuder av nytt liv, under årets alla årstider. I vår fantastiska konferenslokal om ca 100 M2 belägen mitt bland båtentusiaster och hantverkare har du möjlighet att konferera eller arrangera din privata tillställning. Vi kan hjälpa dig planera och skräddarsy din tillställning utifrån dina specifika önskemål och behov. Med ett personligt och professionellt bemötande hoppas vi kunna överraska er och på så sätt ge er en oförglömlig upplevelse. Lokalen har möjlighet till möten, konferenser, föredrag och middagar. Det finns ett beredningskök och bar där vi kan erbjuda allt från konferensmåltider till middagar. I lokalen finns bord, stolar och glas, porslin för 70-talet personer. Full A/V utrusning likväl som whiteboard och wifi. Lokalen kan ta upp till 90 personer i mingelform.Detta finns tillgängligt i lokalen: Wc & Bar. Bord & stolar finns för 70 gäster.Porslin, glas, skålar och bestick för 70 personer. Värmeljus hållare & små enkla vaser. Som mingel kan man vara 100 personer. Det finns 3 st ståbord tillgängligt. Musik & projketor Det finns en enklare musik anläggning med mikrofon, headset & projektor.Hyr till Dukar till borden. Grå eller Vita 79:- styck.Vi står för maten, drycken & servicen hela kvällen. (Not: lokalen kan hyras dagtid och kvällstid, på vardagar fram till 23:00 Måndag-torsdag. Fredagar & Lördagar fram till 01:00. Tyvärr är det ej tillåtet med trubadur, DJ eller liveband efter kl. 22:00. Efter detta går det bra att använda sig av befintligt ljudsystem, som duger bra till festen).",https://venuu.se/lokaler/klubbarnas-klubb,https://files.venuu.se/attachments/000/156/880/529fc6b1d5a0ea2e01612d0c57591719aac3f213.jpg,f60d1d28-3de9-488c-8e9a-c5e71b811562,0.7053277917141068,"Grenna Hotel Gränna Ribbagårdsgränd 11, 563 31 Gränna, Sweden"
,venuu,Högsbo Meeting Point,Västra Frölunda,"E A Rosengrensgata 17, 421 31 Västra Frölunda",Ljusgården 210,,,120,,"Välkommen till Högsbo Meeting Point i Göteborg, en ljus och vacker lokal med högt i tak. En eventlokal frrån 20 upp till 120 sittande personer i biosittning. Scen, bar, ljud, och projektor finns, möblemang utefter era önskemål. Ljusgården är en fantastisk lokal för både fest, work-shops, kick-offer och mycket annat. Ljusgården är både majestätisk eller pampig, om man så vill, men lokalen bringar även en slags lugn och ro. I anslutning till lokalen finns en stor uteterrass. I priset ingår utöver lokalen och dess faciliteter: Förmiddagsfika: Fralla kaffe/teLunch: inklusive dryck. Kaffe/teEftermiddagsfika: Bakverk, Kaffe/te",https://venuu.se/lokaler/hogsbo-meeting-point-ljusgarden-210,https://files.venuu.se/attachments/000/208/318/16bacb05377f27b3b9ae4f60d33157cac61169b6.jpg,04dfd2cd-e11a-49db-b7d9-d9838a1db661,0.7240333650089749,"Hotel Gästis Varberg Borgmästaregatan 1, 432 41 Varberg, Sweden"
,venuu,Vardagsrummet,Stockholm,"Tomtebogatan 5, 11339 Stockholm",,,,30,8000,"Om T5T5 Community är ett kreativt coworking community beläget mitt i centrala Stockholm. Här samlas företag, entreprenörer och frilansare i en inspirerande och dynamisk miljö med möjlighet till spännande möten och samarbeten. I våra vackra sekelskifteslokaler får du tillgång till öppna ytor såväl som välutrustade konferensrum. I vårt café kan du dricka gott kaffe, äta lunch eller hålla interna och externa event.Om VardagsrummetI anknytning till T5s entré ligger vår charmiga eventlokal “Vardagsrummet” som erbjuder många möjligheter till event. Tidigare har det arrangerats POP-UP butiker, bloppisar, juldrinkar, bokreleaser, lanseringsfester och mycket annat. Lokalen är perfekt placerad utmot gatan, med egen entré, 3 toaletter, bar/reception och mindre kök. Till lokalen ordnas möblemang, porslin och mycket mera. Kan bokas mellan kl 07 - 22.Om personalVi har både personal och kontakter kunniga inom servering, event, fest och planering. Ni kan hyra dem per timme.",https://venuu.se/lokaler/vardagsrummet-stockholm,https://files.venuu.se/attachments/000/084/376/eb7bb8be6c7d758f0f337233a80458e89b941184.jpg,04dfd2cd-e11a-49db-b7d9-d9838a1db661,0.7240333650089749,"Hotel Gästis Varberg Borgmästaregatan 1, 432 41 Varberg, Sweden"
,venuu,Heleneborg Ateljé,Stockholm,"Söder Mälarstrand 111, 117 31 Stockholm",,,,20,10000,"Ett av Stockholms äldsta hus har inte bara ett fantastiskt läge intill Pålsundet, där finns också en vacker ateljé med sex meters takhöjd och stort fönster med utsikt över Riddarfjärden och Stockholms stadshus. Ateljén är uppförd av en av landets främsta skulptörer, i huset bodde och verkade även Alfred Nobel på sin tid. Ateljéns öppna planlösning passar perfekt för olika sällskap, oavsett om man vill mingla, bjuda in till vernissage, möten, föreläsningar, konferenser eller andra slags event. En upphöjd scen finns liksom teknisk utrustning som projektor. Egen catering är tillåten.I anslutning till entrén finns en liten grönskande gård där man kan servera bubbel eller andra förtäringar intill en hundraårig lönns vackra grenverket som ett överhängande tak.Ateljén renoverades hösten 2021 samt ett kök byggdes till våren 2022. I köket finns sådant som: kaffebryggare, diskmaskin, kyl & frys, spis, glas, porslin, mm. Tillägg som kan bokas:Professionell guide som berättar om husets intressanta historia.Båttur med Heleneborgs anrika båtklubb, vad sägs om en tur med Krügers vackra träbåt Doris.Fotografen Binge Eliasson föreläser om seendets betydelse, hur det påverkar vår förmåga att se på konst. En föreläsning som omfattar modernismens abstrakta konst fram till dagens konceptuella konst.",https://venuu.se/lokaler/heleneborg-atelje,https://files.venuu.se/attachments/000/107/243/41564a65f17fe0d308fd2586bc885e496536c4e3.jpg,a458a70c-df5b-4ce3-9a57-aa2bf9d079b5,0.770245612894135,"Helio Hötorget - Coworking & Mötesrum Stockholm Sveavägen 9, 111 57 Stockholm, Sweden"
,venuu,KONTRÄR,Stockholm,"Östgötagatan 33, 11625 Stockholm",,,,100,40000,"Den nybyggda teaterlokalen, nära Medborgarplatsen, är en modern och mångsidig evenemangsplats perfekt för presentationer, föreläsningar och andra kulturella evenemang för upp till 100 personer. Interiören har utformats med tanke på både komfort, funktionalitet och en häftig design som har en intim och välkomnande atmosfär.På scenen finns ett professionell ljudsystem och mikrofon så att talare kan ge sina bästa framträdanden. Här finns också projektor, wifi och loger för bästa möjliga evenemang. Vi erbjuder också professionell ljusteknik för att du ska kunna genomföra tillställningen precis så som du vill ha den. Mingelmat kan serveras i loungen och om det önskas finns också möjligheter till bar där ni kan få ta med egna drycker att servera. Vi på Konträr finns här för att se till att du kan arrangera ditt event på dina villkor!",https://venuu.se/lokaler/kontrar,https://files.venuu.se/attachments/000/207/728/95036cda33c1e9441eb231bfcbba53f2a1dc3a09.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
,venuu,Sofq Working Spaces,Kista,"Kistagången 26, 164 40 Kista",,,,12,4000,Solution of Quality working spaces är en perfekt plats för att hålla olika möten! Välkommen till oss för att få inspiration och komma med nya ideér.Våra working spaces passar också utmärkt som jobbplats om du saknar kontor till anpassningsbara priser.Vi erbjuder möjligheten till ett konferensrum med utrymme för 12 personer och mötesrum för 4 personer. Du hittar oss i mitten av Kista. Kontakta gärna oss för mer information!Välkommen!,https://venuu.se/lokaler/sofq-working-spaces,https://files.venuu.se/attachments/000/160/204/48c7b555d1ae63bceb8d8ed5b97a9501ac40fe34.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
,venuu,Rubid,Stockholm,"Sveavägen 140, 113 50 Stockholm",Svea140,,,25,5800,"Svea140 ligger centralt beläget i Stockholm på Sveavägen med gångavstånd från Odenplan. Lokalen består av tre rum och har egen direktingång i markplan från Sveavägen. Exklusiv tillgång till hela lokalen gäller alltid vid hyra.Första rummet (ca 21 kvm) har ett högt bord med plats för 8-12 personer samt en serveringsbänk och kylskåp. Passar bra för fikapausen, ett kortare möte eller grupparbeten.En halv trappa upp ligger stora rummet (ca 31 kvm) med fönster och dörr mot innergården. Stor TV och Whiteboard.Passar bra för utbildningen, föreläsningen eller det lite större mötet. Går att möblera på flera olika sätt, till exempel skol-, styrelse- eller bio-sittning.Innanför kurslokalen, ytterligare en halv trappa upp ligger konferensrummet (ca 12 kvm) med plats för 6-8 personer. Det är möblerat med ett konferensbord och stolar. Här finns Whitebord, blädderblock och TV. Passar bra för lite mindre möten eller grupparbeten.Totalt ca 70 kvm. Utöver detta finns även tillgång till pentry.Erbjuder även frukost och fika. Kan även hjälpa till att boka mat, catering alt. externt.",https://venuu.se/lokaler/rubid-svea140,https://files.venuu.se/attachments/000/164/976/5aea1675781e6cd37a19646f166489e8587ba383.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
,venuu,Eventsal och konferensrum,Stockholm,"Birkagatan 28, 113 39 Stockholm",,,,80,13600,"Om ossT5 Community är ett kreativt Coworking Community beläget i Birkastan i centrala Stockholm. Här samlas företag, entreprenörer och frilansare i en inspirerande och dynamisk miljö med möjlighet till spännande möten och samarbeten. I våra vackra sekelskifteslokaler har man tillgång till öppna ytor såväl som välutrustade konferensrum i olika storlek. I vårt café kan du dricka gott kaffe, äta lunch eller hålla interna och externa event. Nu slår vi även upp dörrarna till en större eventlokal runt hörnet, en luftig och nyrenoverad sekelskifteslokal på Birkagatan 28! Inom de totala 340 kvm finns konferensrum, en stor sal, stor garderob, upp till fem toaletter, två omklädningsrum med toalett och fyra duschar i vardera, handikapptoalett/skötrum, träningsutrustning, flygel och mycket mer. Går att hyras i sin helhet, dock ej som festlokal till privatpersoner. Förutom den starka känslan av genuinitet har denna lokal stora fördelar i form av egen entré direkt från gatan utan trappor samt lokalens inbyggda flexibilitet att, med öppna eller stängda skjutdörrar, kunna förvandlas till just det du önskar. Dessutom ligger den ett stenkast från restauranggatan Rörstrandsgatan.Till lokalen ordnas möblemang, porslin och mycket mer enligt önskemål.Om EventsalenDen större ytan ""Eventsalen” erbjuder många möjligheter till event av olika slag. Denna kan hyras separat eller inklusive mötesrum/skyltfönster mot Birkagatan. Tidigare har det arrangerats bokreleaser, pop-up-butiker, konferensdagar, föreläsningar, reklaminspelningar, lanseringsfester och mycket annat. Oavsett typen av event du vill ha kan vi ordna med möblemang, porslin, personal m.m. Här ryms ca 120 personer stående eller ca 80 sittande.Om konferensrummetKonferensrummet med fönster mot gatan är 24 kvm och kan hyras som konferensrum men även till annat. Vid bokning av lokalerna i sin helhet kan detta rum användas som t.ex. reception, bar eller skyltfönster.Om personalVi har egen personal och kontakter kunniga inom servering, event, fest och planering. Ni kan hyra dem per timme.",https://venuu.se/lokaler/eventsal-och-konferensrum,https://files.venuu.se/attachments/000/157/119/f654f57cf1ac1b47afc167d245cd0c87082e671e.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
,venuu,Högsbo Meeting Point,Västra Frölunda,"EA Rosengrens gata 17, 421 31 Västra Frölunda",Konferenslokal 60,,,24,,"Konferensrum 60 (60 kvm) går att dela i två rum och ligger i anslutning till Ljusgården 210. Lokalen är utrustad med konferensbord, projektor, Wifi, whiteboard och blädderblock. I priset ingår utöver lokalen: Förmiddagsfika: Fralla kaffe/teLunch: inklusive dryck. Kaffe/teEftermiddagsfika: Bakverk, Kaffe/te",https://venuu.se/lokaler/hogsbo-meeting-point-konferenslokal-60,https://files.venuu.se/attachments/000/164/460/f3a7533732b37138dca6d00408cb18c0fcd38297.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
