Date (GMT),Job Link,Origin URL,Room Details List Limit,Position,Room Name,Room Size,Room Type,Number of People,Room Cost,Number of People Range,City,Place,Phone Number (from Phone Number),Google Details,Captured Texts,Hotel Name,PDF,create pdf link,Google Link (from Google Link),Room Details List,Hotel Name (from Room Details List)
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,2,St Goran,,Meeting Room,8,,1 - 10,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recvHXEDshHnyzOEK,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,1,Sofia,,Meeting Room,14,,11 - 20,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recxPBKtfP64CR6E3,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,5,,,,,,1 - 10,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reca3b0kwHf82BjK3,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,4,Nicholson,8M x 5M x 3M (WxLxH),Meeting Room,24,,21 - 50,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rechXLPDqGQHMncNY,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,3,St Erik,3M x 5M x 3M (WxLxH),Meeting Room,6,,1 - 10,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reci9FRegpKjTCP41,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,2,Klocksviten,5M x 10M x 2.5M (WxLxH),Meeting Room,8,,1 - 10,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recv4ustjIN4XKbpi,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,7,China Theatre,18M x 20M x 5M (WxLxH),Meeting Room,1200,,more than 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recCkxJyZn5RCvZLw,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,6,Stora Salongen,20M x 35M x 12M (WxLxH),Meeting Room,350,,more than 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recGjYr8VkMDTG40c,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,1,Roda Rummet,5.34M x 7.44M x 2.5M (WxLxH),Meeting Room,30,,21 - 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recHGpk4E6D3nxssB,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,5,Kammarsalen,14M x 14M x 3M (WxLxH),Meeting Room,180,,more than 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recJHMcy0oEbTrjoP,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
