"city","street","address","location/lat","location/lng","reviewsCount","website","imageUrls/0","phone","description"
"Gothenburg","Föreningsgatan 14","Föreningsgatan 14, 411 27 Göteborg, Sweden","57.6952853","11.9655173","6","http://www.upperwasa.se/","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w_i6RkHaeSZhST3uUu6EEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.6974522&pitch=0&thumbfov=100","+46 31 339 48 00",
"Kungsbacka","Storgatan 35","Storgatan 35, 434 32 Kungsbacka, Sweden","57.4891202","12.0777767","688","http://www.hotellhalland.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5EEj6DEEQDw5OZhdVTb1Ao53egBt9j5WTZwqWa_u89HhJ3AwmU45EkW_-cx6j3-RQM4_bHRBrx9bHa93QME9v4dP1td1b0dwQ8d9CnABWuIfdRjEXhAbDHkiH5wsWnh3rnaU0sziDzQV8Qjl66veK4oqnWTFqt2ktm1MTX1jsA-VrQ2cZzL2sBJ=w1920-h1080-k-no","+46 300 775 30","Understated property offering a bar & a restaurant, plus complimentary parking, Wi-Fi & breakfast."
"Gothenburg","Mässans gata 24","Mässans gata 24, 412 51 Göteborg, Sweden","57.6973908","11.9890125","9077","https://gothiatowers.com/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5HJJzSHBAhfsc4sWua3aoyJpqymcMRx3kVqgbCatHyKxpyK0Sd47ZCGqWFTRFRmOcYQC_qb7i91aRj3S1ihQC09Hs-mHW4yaRe6OribfH0XcDUAygdoQqqLbTTuxiaTmTvjgB7TKglEwj10afJOiYQmZmQk9bAu920vYaKp-PCkxaL9_RaO6QySig=w1920-h1080-k-no","+46 31 750 88 00","Contemporary rooms & suites in a sleek property featuring 3 restaurants & meeting space."
"Särö","Säröhusvägen 12","Säröhusvägen 12, 429 43 Särö, Sweden","57.5102199","11.9330766","1028","http://www.sarohus.se/","https://lh5.googleusercontent.com/p/AF1QipNLKYYOyth_N6Ml2B1u2v7ch0gkE3Ob1wSGBkYQ=w1920-h1080-k-no","+46 31 93 60 90","Upscale hotel offering an indoor/outdoor pool & a bar, plus an elegant dining room with sea views."
"Nösund","3","Boxvik 3, 474 96 Nösund, Sweden","58.105519","11.508235","460","http://www.nosundhavshotell.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5FKa88rv84oMcS8s5fkUM9hR4XTbm3AGFGLRWBFyrmHbTZ1RhAbim1U-x2zyghoOIes7YQGBO3rQY5M1ff2Phh79IqXfQwRFcLVqUPKTQaPGXE3L_gaTxjyBqiK-UzaIAMg-zh_apt43i9sRNkyPb8BpLB1akhqn2Jf7kY7QKy2_AjloR9j0CZr=w1920-h1080-k-no","+46 304 209 25","Polished hotel by the sea featuring simple rooms, plus a restaurant, a spa & a conference center."
"Gothenburg","Lilla Bommens torg 10","Lilla Bommens torg 10, 411 04 Göteborg, Sweden","57.712725","11.9653789","886","https://barkenviking.net/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5EneYjaJEnIRE6tW9V-PXboC76mRLWTBHicuyVfxsOV65F8S4L_KXn7YMWSAQTcS6K6qRxPUg-pZxuIyQDc4UVS0cOuauPxCg9LOEUNXcjS22rnKn98l4gVjA7ZktRcJTQiBAdc2Rsu1ggFpyhuZyft0sP3OKMMbWa-O5-AMstI2wc0Liu9iagV=w1920-h1080-k-no","+46 31 63 58 00","Cozy rooms in a casual hotel set on a circa-1907 sailing ship, plus a restaurant & meeting space."
"Säve","Säve Flygplatsväg","Säve Flygplatsväg, 423 73 Säve, Sweden","57.7767511","11.8628921","79",,"https://lh5.googleusercontent.com/p/AF1QipNdMe_LZ03oMnk1E9a8NSrPguwCbK2UjqQzU6jl=w1920-h1080-k-no","+46 31 790 15 00","Contemporary rooms & suites, plus a lounge with airport views, a terrace, a bar & a restaurant."
"Askim","Stora Åvägen 21","Stora Åvägen 21, 436 34 Askim, Sweden","57.6397754","11.9545643","0","https://mediamotor.net/","https://lh5.googleusercontent.com/p/AF1QipMuTsV2PqWH9dUBmk48fB7TrCyVbKWL078TnDk8=w1920-h1080-k-no","+46 70 820 50 52",
"Gothenburg","Knipplekullen 8-10","Knipplekullen 8-10, 417 05 Göteborg, Sweden","57.7432782","11.9448107","659","https://www.sanktjorgenpark.se/?utm_source=google&utm_medium=organic&utm_term=&utm_content=&utm_campaign=google_my_business","https://lh5.googleusercontent.com/p/AF1QipMmkiPVAWtvJKbYUd1WgYnHdb1IwP8uJK4nTWrA=w1920-h1080-k-no","+46 31 348 40 40","Polished hotel with stylish rooms & suites, plus a golf course, a spa & 3 restaurants."
"Gothenburg","Grönsakstorget 2","Grönsakstorget 2, 411 17 Göteborg, Sweden","57.7029398","11.9655037","686","http://www.hotelflora.se/en","https://lh5.googleusercontent.com/p/AF1QipMN_xO56W0ymCXeSKG3y16XRxq1C8rlAQhNGRww=w1920-h1080-k-no","+46 31 13 86 16","Chic boutique hotel with modern rooms, plus a meeting space & a bar/restaurant."
