Date (GMT),Job Link,Origin URL,Room Details List Limit,Position,Room Name,Room Size,Room Type,Number of People,Room Cost,Number of People Range,City,Place,Phone Number (from Phone Number),Google Details,Captured Texts,Hotel Name,PDF,create pdf link,Google Link (from Google Link),Room Details List,Hotel Name (from Room Details List),Location Name,Number of Rooms,Location Description,Image Attachment,Phone Number,Google Link
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,2,St Goran,,Meeting Room,8,,1 - 10,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recEIhPwjsAAxoEKf,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,,Adlon Hotel,4 Spaces,"Traditional 1880's structure with mordern rooms, new reception & conference rooms; at Vasagatan 42 in the city center. Our comfortable meeting rooms are located on the floor below the main floor. Here you can meet undisturbed in the city centre. The conference rooms are quietly located, with large windows towards the conference lounge.Our meeting rooms have a capacity of up to 35 people and are ideal for small conferences and quick meetings.",elitehoteladlon-0.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/hdr6eUcitcAfBXbspQ9Huw/GvGa3SWKXlOXc7S3o_5u8_kJmOVsru6Fx-H_pyKvZt6VK-YLcNReq0-m3ZkJ0Kxk_Hh1suKjVJn9IJINmVDgmm39C59TovVtfwY_btnzGRg/r1eI78CLRW0D5P7t-dhi7UboSNNKGE9BkqGjRRZUjq0),Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,1,Sofia,,Meeting Room,14,,11 - 20,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recEIhPwjsAAxoEKf,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,,Adlon Hotel,4 Spaces,"Traditional 1880's structure with mordern rooms, new reception & conference rooms; at Vasagatan 42 in the city center. Our comfortable meeting rooms are located on the floor below the main floor. Here you can meet undisturbed in the city centre. The conference rooms are quietly located, with large windows towards the conference lounge.Our meeting rooms have a capacity of up to 35 people and are ideal for small conferences and quick meetings.",elitehoteladlon-0.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/hdr6eUcitcAfBXbspQ9Huw/GvGa3SWKXlOXc7S3o_5u8_kJmOVsru6Fx-H_pyKvZt6VK-YLcNReq0-m3ZkJ0Kxk_Hh1suKjVJn9IJINmVDgmm39C59TovVtfwY_btnzGRg/r1eI78CLRW0D5P7t-dhi7UboSNNKGE9BkqGjRRZUjq0),Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,5,,,,,,1 - 10,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recEIhPwjsAAxoEKf,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,,Adlon Hotel,4 Spaces,"Traditional 1880's structure with mordern rooms, new reception & conference rooms; at Vasagatan 42 in the city center. Our comfortable meeting rooms are located on the floor below the main floor. Here you can meet undisturbed in the city centre. The conference rooms are quietly located, with large windows towards the conference lounge.Our meeting rooms have a capacity of up to 35 people and are ideal for small conferences and quick meetings.",elitehoteladlon-0.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/hdr6eUcitcAfBXbspQ9Huw/GvGa3SWKXlOXc7S3o_5u8_kJmOVsru6Fx-H_pyKvZt6VK-YLcNReq0-m3ZkJ0Kxk_Hh1suKjVJn9IJINmVDgmm39C59TovVtfwY_btnzGRg/r1eI78CLRW0D5P7t-dhi7UboSNNKGE9BkqGjRRZUjq0),Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,4,Nicholson,8M x 5M x 3M (WxLxH),Meeting Room,24,,21 - 50,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recEIhPwjsAAxoEKf,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,,Adlon Hotel,4 Spaces,"Traditional 1880's structure with mordern rooms, new reception & conference rooms; at Vasagatan 42 in the city center. Our comfortable meeting rooms are located on the floor below the main floor. Here you can meet undisturbed in the city centre. The conference rooms are quietly located, with large windows towards the conference lounge.Our meeting rooms have a capacity of up to 35 people and are ideal for small conferences and quick meetings.",elitehoteladlon-0.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/hdr6eUcitcAfBXbspQ9Huw/GvGa3SWKXlOXc7S3o_5u8_kJmOVsru6Fx-H_pyKvZt6VK-YLcNReq0-m3ZkJ0Kxk_Hh1suKjVJn9IJINmVDgmm39C59TovVtfwY_btnzGRg/r1eI78CLRW0D5P7t-dhi7UboSNNKGE9BkqGjRRZUjq0),Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel
2023-06-16 11:41:14,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/aacf02d2-21f2-427e-92e2-104f4afaad0e,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/adlonhotel?attendees=1&searchtype=1,10,3,St Erik,3M x 5M x 3M (WxLxH),Meeting Room,6,,1 - 10,Stockholm,2023-06-16 11:41:14,Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,2023-06-16 11:41:14,Adlon Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recEIhPwjsAAxoEKf,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel,,,Adlon Hotel,4 Spaces,"Traditional 1880's structure with mordern rooms, new reception & conference rooms; at Vasagatan 42 in the city center. Our comfortable meeting rooms are located on the floor below the main floor. Here you can meet undisturbed in the city centre. The conference rooms are quietly located, with large windows towards the conference lounge.Our meeting rooms have a capacity of up to 35 people and are ideal for small conferences and quick meetings.",elitehoteladlon-0.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/hdr6eUcitcAfBXbspQ9Huw/GvGa3SWKXlOXc7S3o_5u8_kJmOVsru6Fx-H_pyKvZt6VK-YLcNReq0-m3ZkJ0Kxk_Hh1suKjVJn9IJINmVDgmm39C59TovVtfwY_btnzGRg/r1eI78CLRW0D5P7t-dhi7UboSNNKGE9BkqGjRRZUjq0),Sample Number +46 77 777 0006,https://www.google.com/maps/search/?api=1&query=Adlon%20Hotel
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,2,Klocksviten,5M x 10M x 2.5M (WxLxH),Meeting Room,8,,1 - 10,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recC84qXBtIrIKPyY,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,,Berns Hotel,7 Spaces,Traditional Six-story Hotel housed in a building dating from 1863.,bernshotel-18.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/_QteyOIhWux_-FJZoZMRcA/B0En9DDYHG0SHRvVISFV5AV-ljUS5e-gvDUjRZ2IwAxxp5pOkf3RA0x2qjLEwhMxADHvXxroJScNLzixFj4Z4Bc3R2ArcHiH1OWDMrKtth4/TufnFq0FD6-ruNWH1mBagkejypV1Bwm9mcHkLE0e8II),Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,7,China Theatre,18M x 20M x 5M (WxLxH),Meeting Room,1200,,more than 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recC84qXBtIrIKPyY,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,,Berns Hotel,7 Spaces,Traditional Six-story Hotel housed in a building dating from 1863.,bernshotel-18.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/_QteyOIhWux_-FJZoZMRcA/B0En9DDYHG0SHRvVISFV5AV-ljUS5e-gvDUjRZ2IwAxxp5pOkf3RA0x2qjLEwhMxADHvXxroJScNLzixFj4Z4Bc3R2ArcHiH1OWDMrKtth4/TufnFq0FD6-ruNWH1mBagkejypV1Bwm9mcHkLE0e8II),Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,6,Stora Salongen,20M x 35M x 12M (WxLxH),Meeting Room,350,,more than 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recC84qXBtIrIKPyY,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,,Berns Hotel,7 Spaces,Traditional Six-story Hotel housed in a building dating from 1863.,bernshotel-18.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/_QteyOIhWux_-FJZoZMRcA/B0En9DDYHG0SHRvVISFV5AV-ljUS5e-gvDUjRZ2IwAxxp5pOkf3RA0x2qjLEwhMxADHvXxroJScNLzixFj4Z4Bc3R2ArcHiH1OWDMrKtth4/TufnFq0FD6-ruNWH1mBagkejypV1Bwm9mcHkLE0e8II),Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,1,Roda Rummet,5.34M x 7.44M x 2.5M (WxLxH),Meeting Room,30,,21 - 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recC84qXBtIrIKPyY,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,,Berns Hotel,7 Spaces,Traditional Six-story Hotel housed in a building dating from 1863.,bernshotel-18.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/_QteyOIhWux_-FJZoZMRcA/B0En9DDYHG0SHRvVISFV5AV-ljUS5e-gvDUjRZ2IwAxxp5pOkf3RA0x2qjLEwhMxADHvXxroJScNLzixFj4Z4Bc3R2ArcHiH1OWDMrKtth4/TufnFq0FD6-ruNWH1mBagkejypV1Bwm9mcHkLE0e8II),Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,5,Kammarsalen,14M x 14M x 3M (WxLxH),Meeting Room,180,,more than 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c8a1e160067102c2c904b&base_id=appTmsb0jGyj8wtOQ&table_id=tblZI7guzdSR0k7Zi&attachment_field_name=PDF&overwrite_attachments=true&record_id=recC84qXBtIrIKPyY,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,,Berns Hotel,7 Spaces,Traditional Six-story Hotel housed in a building dating from 1863.,bernshotel-18.jpg (https://v5.airtableusercontent.com/v1/18/18/1687197600000/_QteyOIhWux_-FJZoZMRcA/B0En9DDYHG0SHRvVISFV5AV-ljUS5e-gvDUjRZ2IwAxxp5pOkf3RA0x2qjLEwhMxADHvXxroJScNLzixFj4Z4Bc3R2ArcHiH1OWDMrKtth4/TufnFq0FD6-ruNWH1mBagkejypV1Bwm9mcHkLE0e8II),Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel
